movie_num#movie_name#movie_year#movie_country#movie_type#movie_director#movie_assess#movie_score#movie_url#movie_intro
1#肖申克的救赎#1994#美国#犯罪 剧情# 弗兰克·德拉邦特 Frank Darabont#1513292#9.7#https://movie.douban.com/subject/1292052/#希望让人自由。
2#霸王别姬#1993#中国大陆 香港#剧情 爱情 同性# 陈凯歌 Kaige Chen#1120128#9.6#https://movie.douban.com/subject/1291546/#风华绝代。
3#这个杀手不太冷#1994#法国#剧情 动作 犯罪# 吕克·贝松 Luc Besson#1371133#9.4#https://movie.douban.com/subject/1295644/#怪蜀黍和小萝莉不得不说的故事。
4#阿甘正传#1994#美国#剧情 爱情# 罗伯特·泽米吉斯 Robert Zemeckis#1184892#9.4#https://movie.douban.com/subject/1292720/#一部美国近现代史。
5#美丽人生#1997#意大利#剧情 喜剧 爱情 战争# 罗伯托·贝尼尼 Roberto Benigni#694640#9.5#https://movie.douban.com/subject/1292063/#最美的谎言。
6#千与千寻#2001#日本#剧情 动画 奇幻# 宫崎骏 Hayao Miyazaki#1214099#9.3#https://movie.douban.com/subject/1291561/#最好的宫崎骏，最好的久石让。 
7#泰坦尼克号#1997#美国#剧情 爱情 灾难# 詹姆斯·卡梅隆 James Cameron#1126444#9.4#https://movie.douban.com/subject/1292722/#失去的才是永恒的。 
8#辛德勒的名单#1993#美国#剧情 历史 战争# 史蒂文·斯皮尔伯格 Steven Spielberg#617026#9.5#https://movie.douban.com/subject/1295124/#拯救一个人，就是拯救整个世界。
9#盗梦空间#2010#美国 英国#剧情 科幻 悬疑 冒险# 克里斯托弗·诺兰 Christopher Nolan#1177422#9.3#https://movie.douban.com/subject/3541415/#诺兰给了我们一场无法盗取的梦。
10#忠犬八公的故事#2009#美国 英国#剧情# 莱塞·霍尔斯道姆 Lasse Hallström#785130#9.3#https://movie.douban.com/subject/3011091/#永远都不能忘记你所爱的人。
11#机器人总动员#2008#美国#爱情 科幻 动画 冒险# 安德鲁·斯坦顿 Andrew Stanton#780344#9.3#https://movie.douban.com/subject/2131459/#小瓦力，大人生。
12#三傻大闹宝莱坞#2009#印度#剧情 喜剧 爱情 歌舞# 拉库马·希拉尼 Rajkumar Hirani#1062695#9.2#https://movie.douban.com/subject/3793023/#英俊版憨豆，高情商版谢耳朵。
13#放牛班的春天#2004#法国 瑞士 德国#剧情 音乐# 克里斯托夫·巴拉蒂 Christophe Barratier#739687#9.3#https://movie.douban.com/subject/1291549/#天籁一般的童声，是最接近上帝的存在。 
14#海上钢琴师#1998#意大利#剧情 音乐# 朱塞佩·托纳多雷 Giuseppe Tornatore#865379#9.2#https://movie.douban.com/subject/1292001/#每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
15#楚门的世界#1998#美国#剧情 科幻# 彼得·威尔 Peter Weir#821674#9.2#https://movie.douban.com/subject/1292064/#如果再也不能见到你，祝你早安，午安，晚安。
16#大话西游之大圣娶亲#1995#香港 中国大陆#喜剧 爱情 奇幻 古装# 刘镇伟 Jeffrey Lau#824972#9.2#https://movie.douban.com/subject/1292213/#一生所爱。
17#星际穿越#2014#美国 英国 加拿大 冰岛#剧情 科幻 冒险# 克里斯托弗·诺兰 Christopher Nolan#845635#9.3#https://movie.douban.com/subject/1889243/#爱是一种力量，让我们超越时空感知它的存在。
18#龙猫#1988#日本#动画 奇幻 冒险# 宫崎骏 Hayao Miyazaki#731620#9.2#https://movie.douban.com/subject/1291560/#人人心中都有个龙猫，童年就永远不会消失。
19#教父#1972#美国#剧情 犯罪# 弗朗西斯·福特·科波拉 Francis Ford Coppola#531843#9.3#https://movie.douban.com/subject/1291841/#千万不要记恨你的对手，这样会让你失去理智。
20#熔炉#2011#韩国#剧情# 黄东赫 Dong-hyuk Hwang#485515#9.3#https://movie.douban.com/subject/5912992/#我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21#无间道#2002#香港#剧情 犯罪 悬疑# 刘伟强 / 麦兆辉#679014#9.2#https://movie.douban.com/subject/1307914/#香港电影史上永不过时的杰作。
22#疯狂动物城#2016#美国#喜剧 动画 冒险# 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore#945682#9.2#https://movie.douban.com/subject/25662329/#迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
23#当幸福来敲门#2006#美国#剧情 传记 家庭# 加布里尔·穆奇诺 Gabriele Muccino#861763#9.1#https://movie.douban.com/subject/1849031/#平民励志片。 
24#怦然心动#2010#美国#剧情 喜剧 爱情# 罗伯·莱纳 Rob Reiner#958978#9.0#https://movie.douban.com/subject/3319755/#真正的幸福是来自内心深处。
25#触不可及#2011#法国#剧情 喜剧# 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano#564505#9.2#https://movie.douban.com/subject/6786002/#满满温情的高雅喜剧。
26#蝙蝠侠：黑暗骑士#2008#美国 英国#剧情 动作 科幻 犯罪 惊悚# 克里斯托弗·诺兰 Christopher Nolan#554895#9.1#https://movie.douban.com/subject/1851857/#无尽的黑暗。
27#乱世佳人#1939#美国#剧情 历史 爱情 战争# 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor#391016#9.3#https://movie.douban.com/subject/1300267/#Tomorrow is another day.
28#活着#1994#中国大陆 香港#剧情 历史 家庭# 张艺谋 Yimou Zhang#439362#9.2#https://movie.douban.com/subject/1292365/#张艺谋最好的电影。
29#控方证人#1957#美国#剧情 犯罪 悬疑# 比利·怀尔德 Billy Wilder#196860#9.6#https://movie.douban.com/subject/1296141/#比利·怀德满分作品。
30#少年派的奇幻漂流#2012#美国 台湾 英国 加拿大#剧情 奇幻 冒险# 李安 Ang Lee#847463#9.0#https://movie.douban.com/subject/1929463/#瑰丽壮观、无人能及的冒险之旅。
31#指环王3：王者无敌#2003#美国 新西兰#剧情 动作 奇幻 冒险# 彼得·杰克逊 Peter Jackson#428590#9.2#https://movie.douban.com/subject/1291552/#史诗的终章。
32#摔跤吧！爸爸#2016#印度#剧情 传记 运动 家庭# 涅提·蒂瓦里 Nitesh Tiwari#837464#9.0#https://movie.douban.com/subject/26387939/#你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
33#天空之城#1986#日本#动画 奇幻 冒险# 宫崎骏 Hayao Miyazaki#503006#9.1#https://movie.douban.com/subject/1291583/#对天空的追逐，永不停止。 
34#鬼子来了#2000#中国大陆#剧情 历史 战争# 姜文 Wen Jiang#357343#9.2#https://movie.douban.com/subject/1291858/#对敌人的仁慈，就是对自己残忍。
35#天堂电影院#1988#意大利 法国#剧情 爱情# 朱塞佩·托纳多雷 Giuseppe Tornatore#414650#9.2#https://movie.douban.com/subject/1291828/#那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
